Datum,Last
2023-06-21T11:00+02:00,65882
2023-06-21T11:15+02:00,65558.7
2023-06-21T11:30+02:00,66117.7
2023-06-21T11:45+02:00,66124.1
2023-06-21T12:00+02:00,65439.2
2023-06-21T12:15+02:00,64718.4
2023-06-21T12:30+02:00,64523.4
2023-06-21T12:45+02:00,64178
2023-06-21T13:00+02:00,63630
2023-06-21T13:15+02:00,62840.8
2023-06-21T13:30+02:00,61851.3
2023-06-21T13:45+02:00,61522.7
2023-06-21T14:00+02:00,61363.7
2023-06-21T14:15+02:00,61413.5
2023-06-21T14:30+02:00,61448.3
2023-06-21T14:45+02:00,61230.4
2023-06-21T15:00+02:00,61251.2
2023-06-21T15:15+02:00,60846.2
2023-06-21T15:30+02:00,60540.8
2023-06-21T15:45+02:00,60457.4
2023-06-21T16:00+02:00,59863.9
2023-06-21T16:15+02:00,59340.3
2023-06-21T16:30+02:00,59321.4
2023-06-21T16:45+02:00,59609.6
2023-06-21T17:00+02:00,60097.6
2023-06-21T17:15+02:00,59686.2
2023-06-21T17:30+02:00,59702.8
2023-06-21T17:45+02:00,58907
2023-06-21T18:00+02:00,58676.3
2023-06-21T18:15+02:00,58484.4
2023-06-21T18:30+02:00,58537.3
2023-06-21T18:45+02:00,58062.2
2023-06-21T19:00+02:00,58623.9
2023-06-21T19:15+02:00,57648.7
2023-06-21T19:30+02:00,57250.2
2023-06-21T19:45+02:00,56645.3
2023-06-21T20:00+02:00,56343.8
2023-06-21T20:15+02:00,55528.5
2023-06-21T20:30+02:00,54803.7
2023-06-21T20:45+02:00,54040.1
2023-06-21T21:00+02:00,53541.1
2023-06-21T21:15+02:00,53122.4
2023-06-21T21:30+02:00,52618.7
2023-06-21T21:45+02:00,52432.2
2023-06-21T22:00+02:00,52117.4
2023-06-21T22:15+02:00,51463.7
2023-06-21T22:30+02:00,50738.9
2023-06-21T22:45+02:00,49998.6
2023-06-21T23:00+02:00,49154.6
2023-06-21T23:15+02:00,48326.6
2023-06-21T23:30+02:00,47326.1
2023-06-21T23:45+02:00,46541
2023-06-22T00:00+02:00,45971.4
2023-06-22T00:15+02:00,45620.3
2023-06-22T00:30+02:00,44695.7
2023-06-22T00:45+02:00,44309.8
2023-06-22T01:00+02:00,43603.3
2023-06-22T01:15+02:00,43298.5
2023-06-22T01:30+02:00,43322.8
2023-06-22T01:45+02:00,43204.5
2023-06-22T02:00+02:00,42976.6
2023-06-22T02:15+02:00,42579.8
2023-06-22T02:30+02:00,42624.8
2023-06-22T02:45+02:00,42586
2023-06-22T03:00+02:00,43032
2023-06-22T03:15+02:00,42881.3
2023-06-22T03:30+02:00,42840.3
2023-06-22T03:45+02:00,42682.9
2023-06-22T04:00+02:00,42749.4
2023-06-22T04:15+02:00,42770.9
2023-06-22T04:30+02:00,42987.2
2023-06-22T04:45+02:00,43481.1
2023-06-22T05:00+02:00,44415.6
2023-06-22T05:15+02:00,44728.8
2023-06-22T05:30+02:00,45339.7
2023-06-22T05:45+02:00,46553.7
2023-06-22T06:00+02:00,48885.5
2023-06-22T06:15+02:00,50539.4
2023-06-22T06:30+02:00,51857.4
2023-06-22T06:45+02:00,52982.2
2023-06-22T07:00+02:00,54442.8
2023-06-22T07:15+02:00,55710.4
2023-06-22T07:30+02:00,56520.3
2023-06-22T07:45+02:00,57195.2
2023-06-22T08:00+02:00,58061.8
2023-06-22T08:15+02:00,59165.4
2023-06-22T08:30+02:00,59719.2
2023-06-22T08:45+02:00,60028.5
2023-06-22T09:00+02:00,59580.4
2023-06-22T09:15+02:00,60004
2023-06-22T09:30+02:00,60577.6
2023-06-22T09:45+02:00,60946.4
2023-06-22T10:00+02:00,60923.7
2023-06-22T10:15+02:00,61185.5
2023-06-22T10:30+02:00,61863.2
2023-06-22T10:45+02:00,62479.9
2023-06-22T11:00+02:00,62927.5
2023-06-22T11:15+02:00,62997.1
2023-06-22T11:30+02:00,63114.5
2023-06-22T11:45+02:00,62944.5
2023-06-22T12:00+02:00,63189.2
2023-06-22T12:15+02:00,63311.9
2023-06-22T12:30+02:00,63282.7
2023-06-22T12:45+02:00,63181
2023-06-22T13:00+02:00,63107.2
2023-06-22T13:15+02:00,63140.9
2023-06-22T13:30+02:00,63012.2
2023-06-22T13:45+02:00,62667.3
2023-06-22T14:00+02:00,61949.4
2023-06-22T14:15+02:00,61502.8
2023-06-22T14:30+02:00,60953.3
2023-06-22T14:45+02:00,60422.3
2023-06-22T15:00+02:00,60656.2
2023-06-22T15:15+02:00,60182.1
2023-06-22T15:30+02:00,59310.2
2023-06-22T15:45+02:00,58164.6
2023-06-22T16:00+02:00,58191.3
2023-06-22T16:15+02:00,57909.4
